sample_number,date_collection,site,element,value,unit,censored
1,2021-03-24,1,Ag,0.8964792997056589,µg/g,none
1,2021-03-24,1,As,4.879476817804939,µg/g,none
1,2021-03-24,1,Cd,0.9779171371830973,µg/g,none
1,2021-03-24,1,Ce,10.82754450227188,µg/g,none
1,2021-03-24,1,Co,1.8773598723722775,µg/g,none
1,2021-03-24,1,Sb,1.2327167581937362,µg/g,none
1,2021-03-24,1,Ti,37.44720678041062,µg/g,none
1,2021-03-24,1,U,0.33322883224680355,µg/g,none
1,2021-03-24,1,V,4.738193073602693,µg/g,none
2,2021-03-24,2,Ag,0.5301204108646467,µg/g,none
2,2021-03-24,2,As,3.741068437729243,µg/g,none
2,2021-03-24,2,Cd,0.6326526974076987,µg/g,none
2,2021-03-24,2,Ce,20.36357450673189,µg/g,none
2,2021-03-24,2,Co,2.5321146221474633,µg/g,none
2,2021-03-24,2,Sb,0.10706638115631692,µg/g,left
2,2021-03-24,2,Ti,29.982129355390722,µg/g,none
2,2021-03-24,2,U,0.4887909162274853,µg/g,none
2,2021-03-24,2,V,3.900902475828136,µg/g,none
3,2021-03-24,3,Ag,0.7254492522398095,µg/g,none
3,2021-03-24,3,As,2.483342865327152,µg/g,none
3,2021-03-24,3,Cd,0.7665900352183125,µg/g,none
3,2021-03-24,3,Ce,7.042828927276558,µg/g,none
3,2021-03-24,3,Co,2.2793696110806465,µg/g,none
3,2021-03-24,3,Sb,1.1986478066103627,µg/g,none
3,2021-03-24,3,Ti,49.28081203502176,µg/g,none
3,2021-03-24,3,U,0.6189760563039576,µg/g,none
3,2021-03-24,3,V,3.5618193553776036,µg/g,none
5,2021-03-30,1,Ag,0.7584305775911641,µg/g,none
5,2021-03-30,1,As,5.850611497192584,µg/g,none
5,2021-03-30,1,Cd,0.5404311378259816,µg/g,none
5,2021-03-30,1,Ce,20.90862186684204,µg/g,none
5,2021-03-30,1,Co,3.449095302188274,µg/g,none
5,2021-03-30,1,Sb,0.10103051121438676,µg/g,left
5,2021-03-30,1,Ti,106.40764569674384,µg/g,none
5,2021-03-30,1,U,0.3116708509462997,µg/g,none
5,2021-03-30,1,V,9.550653177000983,µg/g,none
6,2021-03-31,2,Ag,0.40668059413996827,µg/g,none
6,2021-03-31,2,As,9.680841216600664,µg/g,none
6,2021-03-31,2,Cd,1.2003553582254392,µg/g,none
6,2021-03-31,2,Ce,65.742128152657,µg/g,none
6,2021-03-31,2,Co,4.929535138518483,µg/g,none
6,2021-03-31,2,Sb,0.0952925481227368,µg/g,left
6,2021-03-31,2,Ti,59.06520066535765,µg/g,none
6,2021-03-31,2,U,1.6195231687372391,µg/g,none
6,2021-03-31,2,V,7.578371038251373,µg/g,none
7,2021-03-31,3,Ag,0.8346105945540251,µg/g,none
7,2021-03-31,3,As,3.5929754419946507,µg/g,none
7,2021-03-31,3,Cd,0.8991873375289359,µg/g,none
7,2021-03-31,3,Ce,11.598027139408634,µg/g,none
7,2021-03-31,3,Co,3.383374889240102,µg/g,none
7,2021-03-31,3,Sb,0.10185373803218578,µg/g,left
7,2021-03-31,3,Ti,74.61256514688884,µg/g,none
7,2021-03-31,3,U,0.6122725816795214,µg/g,none
